file,wall_main,wall_basement,wall_pony,wall_basement_header,wall_crawl,wall_crawl_header,F,D,FD,W,FDWR
HTAP-sim-22\NRCan-arch10_1500sf_2storey_rowEnd_fullBsmt.h2k,133.949,11.025,0.000,0.000,0.000,0.000,25.446,5.410,30.856,144.974,0.213
HTAP-sim-22\run_file_file_1.h2k,133.949,11.025,0.000,0.000,0.000,0.000,25.446,5.410,30.856,144.974,0.213
HTAP-sim-23\file-postsub.h2k,74.927,18.960,0.000,0.000,0.000,0.000,19.916,3.822,23.738,93.887,0.253
HTAP-sim-23\file-presub.h2k,88.940,18.960,0.000,0.000,0.000,0.000,23.689,3.822,27.511,107.900,0.255
HTAP-sim-23\NRCan-arch1_1000sf_1storey_fullBsmt.h2k,88.940,18.960,0.000,0.000,0.000,0.000,19.916,3.822,23.738,107.900,0.220
HTAP-sim-23\run_file_file_1.h2k,88.940,18.960,0.000,0.000,0.000,0.000,19.916,3.822,23.738,107.900,0.220
HTAP-sim-24\file-postsub.h2k,173.263,0.000,0.000,0.000,55.278,0.000,36.842,2.010,38.852,228.541,0.170
HTAP-sim-24\file-presub.h2k,173.264,0.000,0.000,0.000,55.278,0.000,13.843,2.010,15.853,228.542,0.069
HTAP-sim-24\NRCan-arch2_1900sqft_1storey_crawlSpace.h2k,173.264,0.000,0.000,0.000,55.278,0.000,36.842,2.010,38.852,228.542,0.170
HTAP-sim-24\run_file_file_1.h2k,173.264,0.000,0.000,0.000,55.278,0.000,36.842,2.010,38.852,228.542,0.170
HTAP-sim-25\file-postsub.h2k,141.218,24.388,0.000,0.000,0.000,0.000,23.159,8.581,31.740,165.607,0.192
HTAP-sim-25\file-presub.h2k,161.055,24.388,0.000,0.000,0.000,0.000,20.923,8.581,29.503,185.444,0.159
HTAP-sim-25\NRCan-arch3_1300sf_2storey_fullBsmt.h2k,161.055,24.388,0.000,0.000,0.000,0.000,23.159,8.581,31.740,185.444,0.171
HTAP-sim-25\run_file_file_1.h2k,161.055,24.388,0.000,0.000,0.000,0.000,23.159,8.581,31.740,185.444,0.171
HTAP-sim-26\file-postsub.h2k,204.552,30.092,0.000,0.000,0.000,0.000,36.080,3.809,39.889,234.644,0.170
HTAP-sim-26\file-presub.h2k,204.552,30.092,0.000,0.000,0.000,0.000,30.937,3.809,34.746,234.644,0.148
HTAP-sim-26\NRCan-arch4_2100sf_2storey_fullBsmt.h2k,204.552,30.092,0.000,0.000,0.000,0.000,36.080,3.809,39.889,234.644,0.170
HTAP-sim-26\run_file_file_1.h2k,204.552,30.092,0.000,0.000,0.000,0.000,36.080,3.809,39.889,234.644,0.170
HTAP-sim-27\file-postsub.h2k,312.797,11.915,0.000,0.000,0.000,0.000,49.049,10.766,59.815,324.712,0.184
HTAP-sim-27\file-presub.h2k,332.851,11.915,0.000,0.000,0.000,0.000,36.776,10.766,47.543,344.766,0.138
HTAP-sim-27\NRCan-arch5_3500sf_2storey_fullBsmt.h2k,332.851,11.915,0.000,0.000,0.000,0.000,49.049,10.766,59.815,344.766,0.173
HTAP-sim-27\run_file_file_1.h2k,332.851,11.915,0.000,0.000,0.000,0.000,49.049,10.766,59.815,344.766,0.173
HTAP-sim-28\file-postsub.h2k,312.797,11.915,0.000,0.000,0.000,0.000,51.186,10.611,61.797,324.712,0.190
HTAP-sim-28\file-presub.h2k,332.851,11.915,0.000,0.000,0.000,0.000,45.540,10.611,56.151,344.766,0.163
HTAP-sim-28\NRCan-arch6_3500sf_2st_15%moreGlass_fullBsmt.h2k,332.851,11.915,0.000,0.000,0.000,0.000,51.186,10.611,61.797,344.766,0.179
HTAP-sim-28\run_file_file_1.h2k,332.851,11.915,0.000,0.000,0.000,0.000,51.186,10.611,61.797,344.766,0.179
HTAP-sim-29\file-postsub.h2k,262.248,0.000,0.000,0.000,0.000,0.000,41.959,9.190,51.148,262.248,0.195
HTAP-sim-29\file-presub.h2k,292.053,0.000,0.000,0.000,0.000,0.000,27.884,9.190,37.073,292.053,0.127
HTAP-sim-29\NRCan-arch7_2100sf_2storey_slabOnGrade.h2k,292.053,0.000,0.000,0.000,0.000,0.000,41.959,9.190,51.148,292.053,0.175
HTAP-sim-29\run_file_file_1.h2k,292.053,0.000,0.000,0.000,0.000,0.000,41.959,9.190,51.148,292.053,0.175
HTAP-sim-3\BC-Step-MediumSFD.h2k,204.524,6.550,23.467,0.000,0.000,0.000,36.063,3.809,39.872,234.542,0.170
HTAP-sim-3\file-postsub.h2k,204.524,6.550,23.467,0.000,0.000,0.000,36.063,3.809,39.872,234.542,0.170
HTAP-sim-3\file-presub.h2k,204.524,6.550,23.467,0.000,0.000,0.000,30.937,3.809,34.746,234.542,0.148
HTAP-sim-3\run_file_file_1.h2k,204.524,6.550,23.467,0.000,0.000,0.000,36.063,3.809,39.872,234.542,0.170
HTAP-sim-30\file-postsub.h2k,238.398,35.359,34.987,0.000,0.000,0.000,50.583,1.904,52.486,308.744,0.170
HTAP-sim-30\file-presub.h2k,238.398,35.359,34.987,0.000,0.000,0.000,32.883,1.904,34.787,308.744,0.113
HTAP-sim-30\NRCan-arch8_2100sf_2storey_walkOut.h2k,238.398,35.359,34.987,0.000,0.000,0.000,50.583,1.904,52.486,308.744,0.170
